geo_id,total_pop,median_age,male_pop,female_pop,white_pop,black_pop,hispanic_pop,asian_pop,graduate_professional_degree,less_than_high_school_graduate,median_income,poverty,unemployed_pop,civilian_labor_force,occupied_housing_units,owner_occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,median_rent,median_year_structure_built,gini_index
44009051304,1794.0,58.2,801.0,993.0,1744.0,0.0,50.0,0.0,349.0,37.0,,45.0,13.0,829.0,772.0,734.0,38.0,85.0,1200.0,1984.0,0.4287
44009051503,3565.0,54.9,1423.0,2142.0,3141.0,23.0,311.0,24.0,745.0,100.0,,776.0,106.0,1702.0,1756.0,1073.0,683.0,980.0,1029.0,1972.0,0.6245
44009051504,4698.0,39.7,2194.0,2504.0,4193.0,126.0,269.0,97.0,587.0,46.0,,1331.0,124.0,1821.0,2065.0,1197.0,868.0,1484.0,1236.0,1973.0,0.6193
44007014501,4853.0,42.5,2634.0,2219.0,4190.0,191.0,221.0,160.0,844.0,167.0,,250.0,112.0,2623.0,1606.0,1565.0,41.0,30.0,-666666666.0,1988.0,0.3601
44009050103,5562.0,41.2,2541.0,3021.0,4398.0,14.0,360.0,334.0,339.0,250.0,,1559.0,214.0,2817.0,2464.0,1263.0,1201.0,90.0,479.0,1969.0,0.4909
44009050104,3321.0,48.7,1716.0,1605.0,2885.0,19.0,201.0,27.0,526.0,78.0,,45.0,14.0,1642.0,1289.0,1260.0,29.0,213.0,-666666666.0,1968.0,0.3807
44005040500,4674.0,30.2,2045.0,2629.0,2620.0,691.0,773.0,232.0,253.0,396.0,,1302.0,102.0,1876.0,1851.0,544.0,1307.0,201.0,487.0,1971.0,0.5007
44003980000,0.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0
44005990000,0.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0
44009990100,0.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0
44009990200,0.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0
